;                     2000 1112
;                     3257 1470
;                  S  |||| ||||
;                  E  0001 1122
;                  Q  2571 4703


FPX ZHU AUS  RDU  01  0010 0010  1.0 1234567  SWA 0     B737 456 390 AUS.ILEXY0.ZENZI..LFK..IZAAC.Q30.VLKNN./.RDU
FPX ZHU AUS  RDU  01  0000 0010  1.0 1234567  ENY 0     E170 427 350 AUS.ILEXY0.ZENZI..IAH..LFK..AEX..NIFTE..MEI..LGC./.RDU

FPX ZHU IAH  SAN  01  0010 0000  1.0 1234567  NKS 958   A320 451 360 IAH.BNDTO0.CRGER..FUSCO.J183.ELP./.SAN

FPX ZHU OKC  SAT  01  0000 1000  1.0 1234567  SWA 0     B738 462 350 OKC./.MOOSE..WINDU.QERVO0.SAT

FPX ZHU TUL  SFB  01  0000 0010  1.0 1234567  AAY 1320  A320 467 350 TUL./.ELD..MCB..SJI..CEW./.SFB

FPX ZHU MAF  SGR  01  0000 0100  0.3 1234567  N   511RS FA50 455 330 MAF..SJT..LLO.BLUBL0.SGR

FPX ZHU AUS  SLC  01  0000 1000  1.0 1234567  DAL 2873  A319 460 300 AUS.ELOEL0.ABI..CIM..MTJ./.SLC
FPX ZHU AUS  SLC  01  0000 0010  1.0 1234567  DAL 2581  BCS1 457 380 AUS.ELOEL0.ABI..CIM..MTJ./.SLC
FPX ZHU AUS  SLC  01  0000 0100  1.0 1234567  SWA 4009  B737 459 380 AUS.ELOEL0.ABI..TXO..CIM..MTJ./.SLC

FPX ZHU IAH  TUS  01  0000 0010  1.0 1234567  SKW 5467  E75L 447 360 IAH.BNDTO0.CRGER..TXO..ONM./.TUS

FPX ZHU OKC  VPS  01  0000 1000  1.0 1234567  AAY 0     A320 462 350 OKC./.TXK..MCB..LOXLY..CEW..VPS
